model,portfolio,months,mean_monthly_return,annualized_return,annualized_sharpe,max_drawdown,cumulative_return
rf_depth16_leaf20_selected,long_return,22,0.0028949027277318674,0.035297315475043556,0.14637452167950446,-0.3149882623598901,0.01616731846249153
rf_depth16_leaf20_selected,short_return,22,-0.005969625031325951,-0.06932967573029325,-0.26823723750178224,-0.3196321576055292,-0.17337845700116394
rf_depth16_leaf20_selected,long_short_return,22,0.008864527759057815,0.1117169498145334,1.0554681336221545,-0.09112314026635271,0.20365468119232366
xgb_depth5_lr003_best1_selected,long_return,22,-0.0023843176732863815,-0.028239570122594038,-0.11414012327953053,-0.29264966083047295,-0.09983388799810078
xgb_depth5_lr003_best1_selected,short_return,22,-0.0005997893166819208,-0.007173775889330991,-0.029484238569819483,-0.311087722858821,-0.06161028368271104
xgb_depth5_lr003_best1_selected,long_short_return,22,-0.0017845283566044604,-0.021205405776543396,-0.3058904610865087,-0.11438070089001762,-0.04266034666801932
